elapsed,label,responseCode,responseMessage,success,bytes,URL
3,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
7,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
4,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
4,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
2,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
5,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
6,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
5,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
5,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
6,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
8,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
3,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
7,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
4,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
2,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
1,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
4,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
4,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
4,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
6,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
5,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
7,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
4,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
5,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
3,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
2,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
6,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
5,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
7,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
5,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
4,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
3,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
2,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
2,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
7,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
4,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
7,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
4,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
3,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
2,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
4,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
4,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
3,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
4,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
6,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
4,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
6,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
5,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
3,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
2,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
7,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
4,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
4,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
6,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
4,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
6,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
4,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
4,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
6,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
4,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
6,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
4,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
4,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
4,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
6,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
6,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
6,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
4,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
4,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
3,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
3,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
5,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
3,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
4,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
3,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
3,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1200
2,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=true
7,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100000
4,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=true
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=1
5,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=false
6,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=10
4,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=true&coop=false
6,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=50
4,GET - Discount,200,OK,true,155,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=false&loyal=false&coop=true
5,GET - Interest,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/interest?balance=100
3,GET - Discount,200,OK,true,154,http://localhost:3000/cphbusiness.test.sp5.systemtesting/api/discount?newcus=true&loyal=true&coop=false
